dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
6,walk,-8.9731,-3.7711,-3.0867,-48.739,-57.6631,67.9601
6,walk,-8.9874,-3.4935,-2.9815,-81.0029,-62.4684,79.63
6,walk,-9.064,-3.058,-2.924,-96.7916,-66.5872,55.6037
6,walk,-8.8343,-2.6704,-2.9049,-93.3593,-65.9007,15.1022
6,walk,-8.7529,-2.7805,-2.948,-82.3759,-58.3496,-21.2804
6,walk,-8.7051,-3.0867,-2.8953,-85.1217,-43.9338,-31.5774
6,walk,-8.7434,-3.1825,-2.857,-105.0292,-44.6203,-27.4586
6,walk,-8.7673,-3.125,-2.8475,-118.0721,-41.8744,-11.6699
6,walk,-8.729,-2.9097,-2.8953,-109.8345,-32.9503,13.7293
6,walk,-8.8343,-2.8331,-2.7709,-112.5803,-28.1451,54.2308
6,walk,-8.8199,-2.814,-2.7135,-113.2668,-13.7293,100.9104
6,walk,-8.6429,-2.7374,-2.68,-132.4878,-30.8909,116.6991
6,walk,-8.8295,-2.8092,-2.5651,-155.1412,-54.9172,91.2999
6,walk,-8.8391,-2.656,-2.5603,-154.4547,-65.9007,89.2405
6,walk,-8.9492,-2.6082,-2.5651,-140.7254,-76.8841,67.9601
6,walk,-8.9779,-2.5077,-2.5986,-129.742,-81.0029,63.8413
6,walk,-9.0927,-2.589,-2.589,-133.8608,-70.0195,67.2736
6,walk,-9.0544,-2.6656,-2.5172,-144.8442,-67.2736,74.1383
6,walk,-9.1789,-2.589,-2.5077,-140.7254,-83.0623,68.6466
6,walk,-9.4373,-2.546,-2.4168,-127.6826,-94.7322,43.9338
6,walk,-9.4086,-2.3498,-2.4072,-107.0886,-98.1646,39.1285
6,walk,-9.6048,-2.3737,-2.278,-82.3759,-96.7916,36.3827
6,walk,-9.6766,-2.3785,-2.0483,-68.6466,-105.7157,42.5609
6,walk,-9.6431,-2.3402,-1.809,-72.7653,-126.9961,54.9172
6,walk,-9.7005,-2.211,-1.6463,-63.8413,-144.8442,65.9007
6,walk,-9.667,-2.0626,-1.4453,-28.1451,-155.8277,76.8841
6,walk,-9.5234,-2.0626,-1.7707,-22.6534,-146.2171,101.5969
6,walk,-9.8967,-2.3689,-1.785,24.0263,-113.2668,113.9533
6,walk,-10.3226,-2.4407,-2.3689,107.7751,-5.4917,139.3525
6,walk,-9.4947,-2.7422,-2.2445,128.369,-10.9834,165.4382
6,walk,-9.9302,-2.3641,-2.5747,94.7322,-40.5015,111.8939
6,walk,-11.007,-2.0674,-2.7135,105.7157,-19.9075,53.5443
6,walk,-11.2702,-2.2158,-2.6417,65.2142,-1.3729,27.4586
6,walk,-10.0116,-2.2205,-2.8044,-17.1616,-59.036,63.1548
6,walk,-9.3655,-1.4118,-2.9336,-43.2473,-117.3856,85.8082
6,walk,-9.3081,-1.1342,-2.948,-27.4586,-138.666,69.333
6,walk,-9.4851,-1.3687,-2.7852,-31.5774,-135.9202,44.6203
6,walk,-9.1167,-1.7803,-2.8187,-64.5278,-142.0984,33.6368
6,walk,-8.7769,-1.7468,-2.9145,-109.8345,-140.7254,25.3992
6,walk,-8.2361,-1.4979,-3.1107,-117.3856,-135.9202,8.2376
6,walk,-8.2361,-1.6223,-3.1298,-94.0458,-124.2503,-10.297
6,walk,-8.5615,-2.0195,-3.393,-106.4022,-107.7751,-10.297
6,walk,-8.8917,-2.2301,-3.46,-159.26,-114.6397,-2.0594
6,walk,-9.2124,-2.0865,-3.5127,-156.5141,-103.6563,41.8744
6,walk,-9.6431,-2.1344,-3.259,-120.8179,-89.2405,52.8578
6,walk,-9.7531,-1.8808,-2.9192,-99.5375,-111.2074,28.1451
6,walk,-10.0499,-1.5793,-2.6273,-81.0029,-146.9036,10.297
6,walk,-9.9063,-1.5362,-2.546,-65.9007,-179.854,-6.8647
